Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,stat_inf_class,clustering,eigencentrality
Xianniang,Xianniang,,2,2,4,21,23,44,3,0.461538,0.509259,0,0,2,0,1,0.28477
Bori Khan,Bori Khan,,3,3,6,16,16,32,3,0.5,0.555556,2.666667,0,2,0,0.666667,0.348908
Hua Li,Hua Li,,3,3,6,12,13,25,3,0.5,0.555556,2.666667,0,2,0,0.5,0.353573
Mulan,Mulan,,15,13,28,90,67,157,2,0.782609,0.861111,210,0,2,0,0.104167,1
Hua Zhou,Hua Zhou,,4,5,9,18,23,41,3,0.5625,0.62963,37.5,0,2,0,0.2,0.467791
Chancellor,Chancellor,,3,3,6,9,9,18,4,0.409091,0.486111,7,0,2,0,0.333333,0.205048
Emperor,Emperor,,4,4,8,13,14,27,3,0.514286,0.583333,37,0,2,0,0.333333,0.359694
Warrior,Warrior,,2,2,4,2,2,4,4,0.367347,0.425926,0,0,2,0,1,0.12374
Hua Xiu,Hua Xiu,,2,1,3,6,5,11,3,0.45,0.481481,0,0,2,0,1,0.28509
Matchmaker,Matchmaker,,1,2,3,2,4,6,3,0.461538,0.509259,0,0,2,0,1,0.210745
Ancestors,Ancestors,,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.097992
Horse,Horse,,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0.210745
Cricket,Cricket,,3,4,7,4,8,12,3,0.514286,0.583333,0.333333,0,2,0,0.75,0.374587
Ling,Ling,,3,3,6,5,4,9,3,0.5,0.555556,0,0,2,0,0.833333,0.380477
Honghui,Honghui,,2,4,6,14,21,35,3,0.514286,0.583333,1.5,0,2,0,0.833333,0.347641
Commander,Commander,,7,4,11,24,23,47,3,0.529412,0.592593,25.5,0,2,0,0.428571,0.659497
Yao,Yao,,4,5,9,5,9,14,3,0.529412,0.611111,16.833333,0,2,0,0.5,0.440391
Po,Po,,1,1,2,1,2,3,3,0.461538,0.490741,0,0,2,0,1,0.091648
Sergeant,Sergeant,,1,2,3,2,2,4,3,0.473684,0.518519,0,0,2,0,1,0.136896
Sarget,Sarget,,0,1,1,0,1,1,3,0.452381,0.482456,0,0,3,0,0,0
